  0.63E+00 &   0.99E-06 \\
  0.51E+00 &   0.70E-06 \\
  0.40E+00 &   0.69E-06 \\
  0.30E+00 &   0.74E-06 \\
  0.22E+00 &   0.45E-06 \\
  0.16E+00 &   0.35E-06 \\
  0.11E+00 &   0.20E-07 \\
  0.80E-01 &   0.10E-05 \\
  0.55E-01 &   0.25E-08 \\
  0.38E-01 &   0.42E-10 \\
  0.26E-01 &   0.34E-08 \\
  0.18E-01 &   0.71E-10 \\
  0.12E-01 &   0.23E-06 \\
  0.81E-02 &   0.21E-09 \\
  0.54E-02 &   0.18E-07 \\
  0.36E-02 &   0.92E-06 \\
  0.24E-02 &   0.31E-09 \\
  0.16E-02 &   0.91E-06 \\
  0.11E-02 &   0.17E-07 \\
  0.72E-03 &   0.31E-08 \\
  0.48E-03 &   0.15E-08 \\
  0.32E-03 &   0.12E-08 \\
  0.21E-03 &   0.12E-08 \\
  0.14E-03 &   0.13E-08 \\
  0.93E-04 &   0.15E-08 \\
  0.61E-04 &   0.17E-08 \\
  0.41E-04 &   0.19E-08 \\
  0.27E-04 &   0.21E-08 \\
  0.18E-04 &   0.23E-08 \\
  0.12E-04 &   0.26E-08 \\
  0.78E-05 &   0.29E-08 \\
  0.51E-05 &   0.31E-08 \\
  0.34E-05 &   0.33E-08 \\
  0.22E-05 &   0.34E-08 \\
  0.15E-05 &   0.36E-08 \\
  0.98E-06 &   0.37E-08 \\
